year,Income_Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1998,40-59.9,52.60511205,83.90863145,166.8735857,25.16472546,3.475877704,18.87354409,0.786397671,34.6014975,11.79596506,15.72795341,7.863976706,36.17429285,18.87354409,3.931988353,18.87354409,121.8916389,133.687604,15.25611481,70.77579035,39.6344426,31.45590682,11.00956739,36.17429285,40.29501664,66.05740433,29.88311148,12.4250832,2.359193012,2.988311148,3.145590682,66.05740433,18.87354409,12.4250832,8.964933444,2.044633943
1998,60-79.9,84.48699815,175.6812396,292.3040141,57.09247088,6.715836107,23.59193012,1.100956739,29.72583195,22.01913478,28.31031614,11.00956739,47.18386023,33.02870216,5.662063228,29.88311148,194.2402246,173.0074875,22.01913478,102.2316972,62.91181364,78.63976706,15.72795341,45.61106489,90.59301165,102.2316972,47.18386023,18.87354409,4.403826955,3.350054077,4.718386023,103.8044925,18.87354409,14.94155574,12.26780366,3.145590682
1998,80-89.9,124.3393558,297.2583195,428.2721714,127.3964226,11.95324459,25.16472546,2.201913478,29.88311148,28.31031614,34.6014975,15.72795341,39.31988353,69.20299501,11.00956739,70.93306988,259.5112313,215.4729617,28.46759567,83.79853577,47.18386023,53.4750416,15.72795341,66.05740433,133.687604,125.8236273,67.03882862,17.30074875,4.718386023,3.145590682,7.863976706,122.6780366,15.72795341,17.30074875,8.178535774,3.696069052
1998,90-100,205.6381653,711.3438769,953.1139767,348.3741681,28.31031614,31.45590682,1.572795341,165.1435108,78.63976706,94.36772047,28.31031614,141.5515807,141.5515807,39.31988353,212.3273711,519.0224626,353.8789518,40.35792845,196.5994176,172.3783694,275.2391847,47.18386023,157.2795341,198.0621173,185.5898503,110.0956739,22.17641431,10.06589018,4.718386023,15.72795341,185.5898503,34.6014975,20.44633943,15.72795341,14.94155574
2001,Less than 20,14.8534917,11.40943468,36.10580596,2.888464477,1.242039725,14.44232238,1.444232238,43.32696715,10.83174179,30.47330023,5.054812834,34.66157372,7.221161192,2.888464477,10.10962567,49.39274255,93.87509549,7.654430863,36.10580596,36.10580596,75.10007639,8.66539343,36.10580596,7.654430863,40.43850267,14.44232238,6.78789152,0.779885409,1.444232238,1.444232238,43.32696715,11.55385791,7.510007639,7.943277311,2.021925134
2001,20-39.9,35.64838009,55.66071047,97.58677235,11.84270435,2.614060351,18.7750191,0.722116119,28.88464477,14.44232238,36.10580596,9.387509549,51.99236058,11.55385791,4.332696715,12.99809015,81.59912147,115.5385791,12.27597403,108.3174179,27.72925898,36.10580596,11.55385791,36.10580596,15.88655462,56.3250573,43.32696715,9.243086325,1.545328495,1.733078686,4.332696715,57.76928953,15.88655462,9.531932773,11.55385791,2.744041253
2001,40-59.9,57.92861765,92.05536287,167.5309397,24.62415966,4.043850267,20.21925134,0.722116119,21.66348358,10.10962567,34.66157372,10.83174179,101.0962567,20.21925134,3.899427044,21.66348358,133.8803285,138.6462949,18.7750191,77.98854087,43.32696715,60.65775401,14.44232238,38.99427044,42.7781589,83.76546982,56.03621085,14.44232238,1.010962567,2.888464477,2.888464477,85.20970206,17.33078686,12.99809015,11.12058824,2.888464477
2001,60-79.9,93.57699773,204.503285,332.1734148,80.87700535,7.582219251,21.66348358,1.444232238,57.76928953,27.44041253,43.32696715,17.33078686,86.6539343,44.77119939,6.499045073,44.77119939,218.079068,187.750191,25.56291062,93.87509549,57.76928953,72.21161192,14.44232238,54.68440947,91.85317036,108.3174179,57.76928953,17.18636364,5.776928953,3.177310924,4.332696715,108.3174179,14.44232238,15.7421314,12.7092437,2.888464477
2001,80-89.9,142.5935204,378.8221161,544.6921887,144.1343774,13.57578304,18.7750191,1.444232238,72.21161192,28.88464477,38.99427044,14.44232238,108.3174179,75.10007639,10.10962567,93.65846066,320.041864,252.7406417,32.78407181,101.0962567,71.4894958,72.21161192,28.88464477,86.3492013,139.4983919,129.9809015,46.21543163,21.66348358,11.26501146,5.704717341,5.776928953,129.9809015,23.10771581,17.33078686,18.03846066,4.91038961
2001,90-100,245.0826131,1205.211803,1459.685523,534.3659282,38.41657754,36.10580596,2.888464477,129.9809015,72.21161192,129.9809015,34.66157372,173.3078686,187.750191,21.66348358,361.0580596,692.5093583,433.2696715,43.32696715,288.8464477,209.4136746,310.5099313,72.21161192,231.0771581,211.5800229,194.9713522,112.6501146,20.21925134,14.44232238,4.043850267,30.32887701,194.9713522,37.5500382,17.33078686,13.86462949,7.221161192
2004,Less than 20,15.31540519,10.05916816,23.04661169,1.870842596,0.813409824,13.55683041,0.474489064,,8.134098243,27.11366081,3.795912513,29.82502689,6.778415203,3.253639297,10.84546432,30.77400502,94.89781284,6.100573682,47.44890642,14.91251345,27.11366081,6.778415203,37.82355683,9.489781284,47.44890642,10.84546432,7.591825027,0.610057368,1.355683041,2.711366081,50.1602725,27.11366081,8.269666547,8.811939763,1.897956257
2004,20-39.9,34.80773906,46.5948261,106.0144138,6.737744711,2.033524561,18.97956257,1.084546432,13.55683041,10.84546432,33.89207601,5.151595554,67.78415203,13.55683041,2.711366081,13.01455719,96.25349588,135.5683041,10.57432772,88.11939763,33.89207601,27.92707064,11.79444245,48.80458946,22.35521334,71.85120115,56.9386877,10.98103263,0.393148082,2.440229473,4.067049122,71.85120115,25.75797777,10.43875941,13.55683041,2.440229473
2004,40-59.9,58.47700162,98.22059197,209.7919505,21.35200789,4.067049122,13.55683041,1.355683041,21.69092865,18.97956257,31.18070993,6.778415203,50.1602725,23.04661169,4.067049122,20.33524561,178.9501614,183.0172105,17.62387953,74.56256723,47.44890642,51.51595554,13.55683041,53.95618501,59.92119039,104.3875941,94.89781284,14.91251345,1.355683041,2.928275368,3.118070993,105.7432772,18.97956257,12.47228397,13.55683041,3.389207601
2004,60-79.9,91.89243111,216.9092865,392.1991036,65.77774113,8.70348512,24.40229473,1.355683041,108.4546432,13.55683041,40.67049122,9.489781284,48.80458946,43.3818573,5.422732162,35.92560057,268.425242,237.2445321,27.11366081,135.5683041,65.07278595,70.49551811,13.55683041,81.34098243,124.4517031,131.5012549,84.05234851,18.97956257,9.489781284,4.067049122,4.744890642,131.5012549,25.75797777,17.62387953,11.52330584,3.538332736
2004,80-89.9,142.0155754,425.6844747,627.1389745,147.7694514,14.91251345,32.53639297,1.084546432,88.11939763,18.97956257,44.73754034,13.55683041,81.34098243,97.60917892,6.778415203,75.91825027,381.4892076,305.0286841,34.43434923,132.856938,81.34098243,94.89781284,23.04661169,108.4546432,184.3728935,178.9501614,105.7432772,20.33524561,18.97956257,3.660344209,6.778415203,176.2387953,28.46934385,18.97956257,14.09910362,6.100573682
2004,90-100,250.6157212,1254.684654,1569.474256,496.329118,37.95912513,40.67049122,2.711366081,216.9092865,77.27393331,169.4603801,27.11366081,135.5683041,250.8013625,27.11366081,274.3902474,881.1939763,610.0573682,44.73754034,351.1219075,264.3581929,359.2560057,97.60917892,305.0300398,283.3377555,253.5127286,215.5536034,24.40229473,54.22732162,5.422732162,13.55683041,249.4456795,54.22732162,23.04661169,13.55683041,6.37171029
